State,Atmospheric Condition,Crash Date,Fatalities in crash,Roadway,Age,Alcohol Results,Person Type,Drug Involvement,Race,Gender,Injury Severity,Crash Date.year,Crash Date.month,Crash Date.day-of-month,Crash Date.day-of-week
Alaska,Clear,2011-01-05,1,Rural-Principal Arterial-Interstate,27,0.0,Driver of a Motor Vehicle In-Transport,Yes,,Male,Non-incapacitating Evident Injury (B),2011,1,5,3
Alaska,Clear,2011-01-05,1,Rural-Principal Arterial-Interstate,60,0.0,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),2011,1,5,3
Arizona,Clear,2011-01-01,1,Urban-Other Principal Arterial,24,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,1,6
Arizona,Clear,2011-01-01,1,Urban-Other Principal Arterial,27,0.0,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,1,6
Arizona,Clear,2011-01-01,1,Urban-Other Principal Arterial,82,0.0,Pedestrian,No,Unknown,Female,Fatal Injury (K),2011,1,1,6
Arkansas,Clear,2011-01-02,1,Rural-Minor Arterial,40,0.0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,2,7
Colorado,Clear,2011-01-02,1,Rural-Local Road or Street,17,0.0,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),2011,1,2,7
Connecticut,Clear,2011-01-01,1,Urban-Local Road or Street,22,0.21,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,1,6
Delaware,Cloudy,2011-01-04,1,Urban-Other Principal Arterial,4,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Non-incapacitating Evident Injury (B),2011,1,4,2
Delaware,Cloudy,2011-01-04,1,Urban-Other Principal Arterial,20,0.21,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),2011,1,4,2
District of Columbia,Clear,2011-01-14,2,Urban-Local Road or Street,20,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,14,5
District of Columbia,Clear,2011-01-14,2,Urban-Local Road or Street,31,0.1,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,14,5
Florida,Rain,2011-01-01,1,Urban-Minor Arterial,5,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6
Florida,Rain,2011-01-01,1,Urban-Minor Arterial,70,,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,1,6
Georgia,"Fog, Smog, Smoke",2011-01-01,1,Urban-Local Road or Street,23,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,1,1,6
Georgia,"Fog, Smog, Smoke",2011-01-01,1,Urban-Local Road or Street,24,0.03,Driver of a Motor Vehicle In-Transport,Unknown,Black,Male,Fatal Injury (K),2011,1,1,6
Hawaii,Clear,2011-01-01,2,Rural-Minor Arterial,0,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,1,6
Hawaii,Clear,2011-01-01,2,Rural-Minor Arterial,19,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Non-incapacitating Evident Injury (B),2011,1,1,6
Hawaii,Clear,2011-01-01,2,Rural-Minor Arterial,26,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6
Idaho,Clear,2011-01-02,1,Rural-Principal Arterial-Interstate,22,0.0,Driver of a Motor Vehicle In-Transport,No,,Female,Non-incapacitating Evident Injury (B),2011,1,2,7
Idaho,Clear,2011-01-02,1,Rural-Principal Arterial-Interstate,23,,Passenger of a Motor Vehicle In-Transport,Not Reported,Black,Female,Fatal Injury (K),2011,1,2,7
Idaho,Clear,2011-01-02,1,Rural-Principal Arterial-Interstate,25,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,2,7
Illinois,Clear,2011-01-01,1,Urban-Minor Arterial,27,0.0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,1,6
Indiana,Rain,2011-01-01,1,Rural-Local Road or Street,25,0.09,Driver of a Motor Vehicle In-Transport,Yes,Black,Male,Fatal Injury (K),2011,1,1,6
Kansas,Clear,2011-01-02,2,Rural-Principal Arterial-Other,25,,Driver of a Motor Vehicle In-Transport,No,,Female,Non-incapacitating Evident Injury (B),2011,1,2,7
Kansas,Clear,2011-01-02,2,Rural-Principal Arterial-Other,61,0.0,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,2,7
Kentucky,Clear,2011-01-01,2,Urban-Other Principal Arterial,7,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Non-incapacitating Evident Injury (B),2011,1,1,6
Kentucky,Clear,2011-01-01,2,Urban-Other Principal Arterial,18,0.0,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,1,6
Kentucky,Clear,2011-01-01,2,Urban-Other Principal Arterial,20,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6
Kentucky,Clear,2011-01-01,2,Urban-Other Principal Arterial,28,0.12,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,1,6
Kentucky,Clear,2011-01-01,2,Urban-Other Principal Arterial,37,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6
Louisiana,Rain,2011-01-01,1,Rural-Principal Arterial-Interstate,41,0.0,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,1,1,6
Maine,Clear,2011-01-03,2,Rural-Major Collector,82,0.0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,3,1
Massachusetts,Cloudy,2011-01-25,1,Urban-Other Principal Arterial,63,0.0,Driver of a Motor Vehicle In-Transport,Not Reported,Black,Female,Fatal Injury (K),2011,1,25,2
Michigan,Rain,2011-01-01,1,Rural-Major Collector,75,,Driver of a Motor Vehicle In-Transport,No,,Female,No Injury (O),2011,1,1,6
Minnesota,Snow,2011-01-03,1,Urban-Minor Arterial,57,0.0,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,1,3,1
Mississippi,Clear,2011-01-01,1,Urban-Principal Arterial-Other Freeways or Expressways,20,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Non-incapacitating Evident Injury (B),2011,1,1,6
Mississippi,Clear,2011-01-01,1,Urban-Principal Arterial-Other Freeways or Expressways,21,0.14,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,1,6
Missouri,Cloudy,2011-01-01,1,Rural-Principal Arterial-Interstate,31,0.0,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,1,6
Montana,Blowing Snow,2011-01-05,1,Rural-Principal Arterial-Other,67,0.0,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,5,3
Nevada,Cloudy,2011-01-03,1,Urban-Minor Arterial,49,,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,3,1
Nevada,Cloudy,2011-01-03,1,Urban-Minor Arterial,66,0.0,Pedestrian,Yes,White,Female,Fatal Injury (K),2011,1,3,1
New Hampshire,Clear,2011-01-20,1,Rural-Local Road or Street,20,0.0,Driver of a Motor Vehicle In-Transport,Yes,White,Female,Fatal Injury (K),2011,1,20,4
New Hampshire,Clear,2011-01-20,1,Rural-Local Road or Street,21,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,1,20,4
New Hampshire,Clear,2011-01-20,1,Rural-Local Road or Street,52,0.0,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,20,4
New Mexico,Clear,2011-02-12,1,Urban-Collector,43,0.0,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,2,12,6
New York,Clear,2011-01-10,1,Rural-Principal Arterial-Other,31,0.0,Driver of a Motor Vehicle In-Transport,Not Reported,Unknown,Male,Fatal Injury (K),2011,1,10,1
North Carolina,Snow,2011-01-07,2,Rural-Major Collector,50,0.0,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,7,5
North Dakota,Clear,2011-04-07,1,Rural-Major Collector,41,0.31,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,4,7,4
Ohio,Cloudy,2011-01-01,1,Urban-Other Principal Arterial,21,0.06,Passenger of a Motor Vehicle In-Transport,Not Reported,Black,Male,Fatal Injury (K),2011,1,1,6
Ohio,Cloudy,2011-01-01,1,Urban-Other Principal Arterial,22,,Driver of a Motor Vehicle In-Transport,No,,Male,Incapacitating Injury (A),2011,1,1,6
Oklahoma,Clear,2011-01-01,2,Rural-Local Road or Street,39,0.1,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,1,6
Oregon,Clear,2011-01-02,1,Rural-Principal Arterial-Other,64,0.0,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),2011,1,2,7
Pennsylvania,Clear,2011-01-01,1,Rural-Major Collector,21,0.27,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Fatal Injury (K),2011,1,1,6
South Carolina,"Fog, Smog, Smoke",2011-01-01,1,Rural-Local Road or Street,91,0.0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,1,6
Tennessee,Rain,2011-02-01,1,Rural-Principal Arterial-Interstate,46,0.0,Driver of a Motor Vehicle In-Transport,No,,Female,Incapacitating Injury (A),2011,2,1,2
Texas,Clear,2011-01-01,2,Urban-Minor Arterial,34,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,1,1,6
Utah,Clear,2011-01-01,1,Urban-Other Principal Arterial,34,,Passenger of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6
Vermont,Snow,2011-01-15,1,Rural-Principal Arterial-Other,0,,Passenger of a Motor Vehicle In-Transport,No,,Female,No Injury (O),2011,1,15,6
Vermont,Snow,2011-01-15,1,Rural-Principal Arterial-Other,17,,Passenger of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,1,15,6
Vermont,Snow,2011-01-15,1,Rural-Principal Arterial-Other,18,,Passenger of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,1,15,6
Vermont,Snow,2011-01-15,1,Rural-Principal Arterial-Other,22,,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,15,6
Vermont,Snow,2011-01-15,1,Rural-Principal Arterial-Other,56,,Passenger of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),2011,1,15,6
Vermont,Snow,2011-01-15,1,Rural-Principal Arterial-Other,57,,Driver of a Motor Vehicle In-Transport,No,,Female,No Injury (O),2011,1,15,6
Vermont,Snow,2011-01-15,1,Rural-Principal Arterial-Other,67,0.11,Driver of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,1,15,6
Virginia,Rain,2011-01-01,1,Rural-Minor Collector,20,0.11,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,1,1,6
Washington,Clear,2011-01-01,1,Urban-Collector,18,0.15,Driver of a Motor Vehicle In-Transport,Not Reported,American Indian (includes Aleuts and Eskimos),Male,Fatal Injury (K),2011,1,1,6
Washington,Clear,2011-01-01,1,Urban-Collector,18,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,1,1,6
Wyoming,Clear,2011-01-16,1,Rural-Major Collector,15,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,16,7
Wyoming,Clear,2011-01-16,1,Rural-Major Collector,17,0.0,Driver of a Motor Vehicle In-Transport,Not Reported,American Indian (includes Aleuts and Eskimos),Male,Fatal Injury (K),2011,1,16,7
Alaska,Cloudy,2011-01-05,2,Rural-Major Collector,32,0.0,Driver of a Motor Vehicle In-Transport,No,,Male,Incapacitating Injury (A),2011,1,5,3
Alaska,Cloudy,2011-01-05,2,Rural-Major Collector,76,0.0,Passenger of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),2011,1,5,3
Alaska,Cloudy,2011-01-05,2,Rural-Major Collector,82,0.0,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,5,3
Arkansas,Clear,2011-01-03,2,Urban-Principal Arterial-Interstate,60,0.0,Driver of a Motor Vehicle In-Transport,Unknown,,Female,Incapacitating Injury (A),2011,1,3,1
Arkansas,Clear,2011-01-03,2,Urban-Principal Arterial-Interstate,62,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,1,3,1
California,Clear,2011-01-03,1,Rural-Minor Arterial,62,0.21,Driver of a Motor Vehicle In-Transport,Unknown,\N,Male,Fatal Injury (K),2011,1,3,1
Colorado,Clear,2011-01-04,1,Rural-Minor Collector,72,0.0,Driver of a Motor Vehicle In-Transport,Yes,White,Female,Fatal Injury (K),2011,1,4,2
Connecticut,Clear,2011-01-07,1,\N,24,,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,7,5
Delaware,Clear,2011-01-11,1,Rural-Principal Arterial-Other,50,,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,11,2
Delaware,Clear,2011-01-11,1,Rural-Principal Arterial-Other,55,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,11,2
Florida,Clear,2011-01-02,1,Urban-Other Principal Arterial,1,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,2,7
Florida,Clear,2011-01-02,1,Urban-Other Principal Arterial,15,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,2,7
Florida,Clear,2011-01-02,1,Urban-Other Principal Arterial,25,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Non-incapacitating Evident Injury (B),2011,1,2,7
Florida,Clear,2011-01-02,1,Urban-Other Principal Arterial,28,,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,2,7
Florida,Clear,2011-01-02,1,Urban-Other Principal Arterial,37,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,2,7
Georgia,Cloudy,2011-01-01,1,Urban-Local Road or Street,23,0.08,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),2011,1,1,6
Hawaii,Clear,2011-01-01,1,Rural-Principal Arterial-Other,43,0.21,Passenger of a Motor Vehicle In-Transport,Not Reported,Hawaiian (includes Part-Hawaiian),Male,Fatal Injury (K),2011,1,1,6
Hawaii,Clear,2011-01-01,1,Rural-Principal Arterial-Other,46,,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,1,6
Idaho,Snow,2011-01-07,1,Rural-Principal Arterial-Other,40,,Driver of a Motor Vehicle In-Transport,Unknown,,Male,Incapacitating Injury (A),2011,1,7,5
Idaho,Snow,2011-01-07,1,Rural-Principal Arterial-Other,41,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Possible Injury (C),2011,1,7,5
Idaho,Snow,2011-01-07,1,Rural-Principal Arterial-Other,43,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,7,5
Illinois,Clear,2011-01-01,1,Rural-Major Collector,18,0.17,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,1,6
Indiana,Cloudy,2011-01-01,1,Rural-Local Road or Street,20,0.19,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),2011,1,1,6
Kansas,Clear,2011-01-02,1,Rural-Major Collector,28,,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,Possible Injury (C),2011,1,2,7
Kansas,Clear,2011-01-02,1,Rural-Major Collector,33,,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,Possible Injury (C),2011,1,2,7
Kentucky,Clear,2011-01-04,1,Rural-Local Road or Street,34,0.12,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,4,2
